,concept,subject,first_quarter,last_quarter,overall
167,hg08,amv,0.7,0.5454545454545454,0.5609756097560976
168,hg08,ane,0.5,0.9090909090909091,0.6829268292682927
169,hg08,aqe,0.6,1.0,0.9024390243902439
170,hg08,azp,0.8,1.0,0.9512195121951219
171,hg08,bbl,0.6,1.0,0.875
172,hg08,bck,0.4,0.7272727272727273,0.5609756097560976
173,hg08,bfo,0.4,0.6363636363636364,0.6341463414634146
174,hg08,bhm,0.6,1.0,0.9024390243902439
175,hg08,bil,0.5,0.9090909090909091,0.7804878048780488
176,hg08,bjh,0.7,1.0,0.8048780487804879
177,hg08,bmb,0.7,1.0,0.926829268292683
178,hg08,bpu,0.6,1.0,0.8048780487804879
179,hg08,bud,0.5,0.9090909090909091,0.7804878048780488
180,hg08,bwx,0.7,1.0,0.926829268292683
181,hg08,bzm,0.5,1.0,0.8780487804878049
182,hg08,cby,0.4,0.5454545454545454,0.5365853658536586
183,hg08,clc,0.6,1.0,0.9024390243902439
184,hg08,cmi,0.9,1.0,0.975609756097561
185,hg08,cmj,0.9,1.0,0.975609756097561
186,hg09,agu,0.6363636363636364,1.0,0.8888888888888888
187,hg09,agw,0.45454545454545453,1.0,0.8666666666666667
188,hg09,ahs,0.36363636363636365,1.0,0.8444444444444444
189,hg09,aju,0.5454545454545454,1.0,0.8888888888888888
190,hg09,aom,0.9090909090909091,1.0,0.9777777777777777
191,hg09,aor,0.7272727272727273,1.0,0.8888888888888888
192,hg09,aqe,0.6363636363636364,1.0,0.8888888888888888
193,hg09,aue,0.2727272727272727,1.0,0.8222222222222222
194,hg09,aui,0.5454545454545454,1.0,0.8666666666666667
195,hg09,avj,0.45454545454545453,1.0,0.8
196,hg09,azu,0.8181818181818182,1.0,0.9333333333333333
197,hg09,bav,0.5454545454545454,1.0,0.8666666666666667
198,hg09,bbb,0.7272727272727273,0.8333333333333334,0.8666666666666667
199,hg09,bbt,0.6363636363636364,1.0,0.8888888888888888
200,hg09,bhy,0.6363636363636364,0.8333333333333334,0.7555555555555555
201,hg09,box,0.8181818181818182,1.0,0.9333333333333333
202,hg09,bpq,0.36363636363636365,0.5,0.6
203,hg09,brb,0.45454545454545453,1.0,0.7333333333333333
204,hg09,bti,0.6363636363636364,1.0,0.9111111111111111
205,hg09,bvr,0.6363636363636364,1.0,0.9111111111111111
206,hg09,ccf,0.9090909090909091,1.0,0.9555555555555556
207,hg09,cck,0.5454545454545454,0.3333333333333333,0.37777777777777777
208,hg09,cgn,0.8181818181818182,1.0,0.8
209,hg10,agn,0.7,0.9090909090909091,0.8048780487804879
210,hg10,ahb,0.6,1.0,0.8536585365853658
211,hg10,ahs,0.8,1.0,0.9024390243902439
212,hg10,ajw,0.6,1.0,0.8292682926829268
213,hg10,apc,0.6,1.0,0.8536585365853658
214,hg10,aqe,0.9,1.0,0.926829268292683
215,hg10,aqq,0.7,1.0,0.8780487804878049
216,hg10,arn,0.5,1.0,0.8048780487804879
217,hg10,art,0.7,1.0,0.8780487804878049
218,hg10,atb,0.6,1.0,0.8292682926829268
219,hg10,aue,0.7,1.0,0.8780487804878049
220,hg10,azb,0.9,0.7272727272727273,0.8048780487804879
221,hg10,azu,0.9,1.0,0.926829268292683
