,concept,overall_mean,overall_sd,overall_scores,last_quarter_mean,last_quarter_sd,last_quarter_scores
20,hg11,0.9102715466351832,0.05522557527049113,"[0.974025974025974, 0.922077922077922, 0.961038961038961, 0.8051948051948052, 0.922077922077922, 0.974025974025974, 0.922077922077922, 0.8961038961038961, 0.961038961038961, 0.8831168831168831, 0.961038961038961, 0.7792207792207793, 0.8571428571428571, 0.961038961038961, 0.8181818181818182, 0.922077922077922, 0.8961038961038961, 0.935064935064935, 0.9090909090909091, 0.961038961038961, 0.948051948051948, 0.8571428571428571]",0.984090909090909,0.0461872759838672,"[1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
21,hg110,0.7459386973180077,0.11029369025794158,"[0.5833333333333334, 0.6527777777777778, 0.4027777777777778, 0.7777777777777778, 0.8333333333333334, 0.7638888888888888, 0.75, 0.6805555555555556, 0.6206896551724138, 0.7916666666666666, 0.7916666666666666, 0.7222222222222222, 0.7638888888888888, 0.8611111111111112, 0.7222222222222222, 0.8194444444444444, 0.875, 0.8611111111111112, 0.6666666666666666, 0.8611111111111112, 0.6527777777777778, 0.8611111111111112, 0.8333333333333334, 0.6527777777777778, 0.8472222222222222]",0.6033684210526316,0.11777136401870145,"[0.6842105263157895, 0.5789473684210527, 0.5263157894736842, 0.5789473684210527, 0.631578947368421, 0.6842105263157895, 0.47368421052631576, 0.631578947368421, 0.4, 0.5789473684210527, 0.631578947368421, 0.42105263157894735, 0.7894736842105263, 0.631578947368421, 0.5263157894736842, 0.631578947368421, 0.6842105263157895, 0.7368421052631579, 0.5789473684210527, 0.6842105263157895, 0.42105263157894735, 0.8421052631578947, 0.6842105263157895, 0.3684210526315789, 0.6842105263157895]"
22,hg111,0.6008793356130924,0.1301022751165304,"[0.9438202247191011, 0.48314606741573035, 0.8651685393258427, 0.5842696629213483, 0.6179775280898876, 0.4943820224719101, 0.5842696629213483, 0.8764044943820225, 0.4943820224719101, 0.5393258426966292, 0.48314606741573035, 0.6404494382022472, 0.5280898876404494, 0.6067415730337079, 0.5056179775280899, 0.6629213483146067, 0.5168539325842697, 0.6966292134831461, 0.5168539325842697, 0.5168539325842697, 0.5056179775280899, 0.651685393258427, 0.5056179775280899]",0.6559546313799621,0.18839209834859724,"[1.0, 0.34782608695652173, 1.0, 0.5217391304347826, 0.7391304347826086, 0.5652173913043478, 0.6521739130434783, 1.0, 0.4782608695652174, 0.6956521739130435, 0.5652173913043478, 0.6086956521739131, 0.6086956521739131, 0.6956521739130435, 0.4782608695652174, 0.9130434782608695, 0.4782608695652174, 0.8695652173913043, 0.4782608695652174, 0.4782608695652174, 0.6521739130434783, 0.782608695652174, 0.4782608695652174]"
23,hg112,0.765,0.1305212720943824,"[0.6666666666666666, 0.9027777777777778, 0.5138888888888888, 0.7222222222222222, 0.7222222222222222, 0.7361111111111112, 0.9166666666666666, 0.5416666666666666, 0.5555555555555556, 0.8333333333333334, 0.5555555555555556, 0.8888888888888888, 0.8055555555555556, 0.625, 0.8611111111111112, 0.8333333333333334, 0.8888888888888888, 0.9166666666666666, 0.9027777777777778, 0.6805555555555556, 0.8611111111111112, 0.8194444444444444, 0.7777777777777778, 0.6666666666666666, 0.9305555555555556]",0.8042105263157893,0.15072860900773682,"[0.8947368421052632, 0.8947368421052632, 0.5789473684210527, 0.7894736842105263, 0.5263157894736842, 0.6842105263157895, 0.9473684210526315, 0.6842105263157895, 0.7894736842105263, 0.8947368421052632, 0.5263157894736842, 0.8947368421052632, 0.9473684210526315, 0.5263157894736842, 0.9473684210526315, 0.8947368421052632, 0.9473684210526315, 0.8947368421052632, 0.8947368421052632, 0.631578947368421, 0.8947368421052632, 0.8947368421052632, 0.9473684210526315, 0.631578947368421, 0.9473684210526315]"
24,hg12,0.8199488491048595,0.11413872680087041,"[0.8823529411764706, 0.8235294117647058, 0.9176470588235294, 0.9411764705882353, 0.9058823529411765, 0.8823529411764706, 0.7647058823529411, 0.5529411764705883, 0.611764705882353, 0.6235294117647059, 0.8941176470588236, 0.8352941176470589, 0.8941176470588236, 0.8705882352941177, 0.9529411764705882, 0.8470588235294118, 0.788235294117647, 0.8941176470588236, 0.9176470588235294, 0.9411764705882353, 0.7294117647058823, 0.6705882352941176, 0.7176470588235294]",0.909090909090909,0.1380007134394948,"[1.0, 1.0, 1.0, 1.0, 0.9545454545454546, 1.0, 0.9545454545454546, 0.45454545454545453, 0.7727272727272727, 0.6818181818181818, 0.9090909090909091, 0.9545454545454546, 1.0, 1.0, 1.0, 1.0, 0.7272727272727273, 1.0, 1.0, 1.0, 0.7727272727272727, 0.8636363636363636, 0.8636363636363636]"
25,hg13,0.8838594401429423,0.09967594292541766,"[0.9315068493150684, 0.863013698630137, 0.6438356164383562, 0.8904109589041096, 0.9726027397260274, 0.7671232876712328, 0.8767123287671232, 0.9315068493150684, 0.9041095890410958, 0.8767123287671232, 0.9726027397260274, 0.9041095890410958, 0.8082191780821918, 0.9452054794520548, 0.9726027397260274, 0.9452054794520548, 0.8767123287671232, 0.8767123287671232, 0.9178082191780822, 0.9315068493150684, 0.9726027397260274, 0.9726027397260274, 0.5753424657534246]",0.9656750572082381,0.07214591656949404,"[1.0, 1.0, 0.8421052631578947, 0.9473684210526315, 1.0, 0.9473684210526315, 1.0, 1.0, 1.0, 0.9473684210526315, 1.0, 1.0, 0.8947368421052632, 1.0, 0.9473684210526315, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6842105263157895]"
26,hg14,0.8081632653061223,0.1213442226906459,"[0.8857142857142857, 0.9428571428571428, 0.7428571428571429, 0.8714285714285714, 0.5714285714285714, 0.5714285714285714, 0.9, 0.9, 0.9, 0.8714285714285714, 0.6142857142857143, 0.7857142857142857, 0.5857142857142857, 0.7571428571428571, 0.9285714285714286, 0.8857142857142857, 0.9, 0.9142857142857143, 0.7571428571428571, 0.8428571428571429, 0.8428571428571429]",0.8862433862433863,0.16752529311097955,"[1.0, 1.0, 0.7222222222222222, 1.0, 0.7222222222222222, 0.3888888888888889, 1.0, 1.0, 1.0, 0.9444444444444444, 0.6111111111111112, 0.9444444444444444, 0.7777777777777778, 0.6666666666666666, 1.0, 0.9444444444444444, 1.0, 1.0, 1.0, 1.0, 0.8888888888888888]"
27,hg15,0.7129186602870813,0.14944095084808917,"[0.7662337662337663, 0.8311688311688312, 0.7662337662337663, 0.922077922077922, 0.8831168831168831, 0.8311688311688312, 0.8051948051948052, 0.5974025974025974, 0.6753246753246753, 0.5324675324675324, 0.5194805194805194, 0.38961038961038963, 0.8441558441558441, 0.7142857142857143, 0.8311688311688312, 0.8831168831168831, 0.5974025974025974, 0.5064935064935064, 0.6493506493506493]",0.8052631578947368,0.22935535336316765,"[0.9, 1.0, 0.95, 1.0, 1.0, 1.0, 1.0, 0.4, 1.0, 0.6, 0.5, 0.45, 1.0, 0.9, 1.0, 0.95, 0.6, 0.45, 0.6]"
28,hg16,0.7224517906336089,0.16905293739871266,"[0.9090909090909091, 0.9242424242424242, 0.5151515151515151, 0.9242424242424242, 0.8636363636363636, 0.7878787878787878, 0.9242424242424242, 0.5151515151515151, 0.42424242424242425, 0.803030303030303, 0.8181818181818182, 0.5606060606060606, 0.8333333333333334, 0.8636363636363636, 0.5606060606060606, 0.803030303030303, 0.6363636363636364, 0.8787878787878788, 0.5, 0.45454545454545453, 0.6212121212121212, 0.7727272727272727]",0.7941176470588236,0.24431246655641392,"[1.0, 1.0, 0.5294117647058824, 1.0, 1.0, 0.9411764705882353, 1.0, 0.47058823529411764, 0.29411764705882354, 0.9411764705882353, 0.9411764705882353, 0.7058823529411765, 0.8823529411764706, 1.0, 0.5294117647058824, 0.9411764705882353, 0.9411764705882353, 1.0, 0.35294117647058826, 0.35294117647058826, 0.7647058823529411, 0.8823529411764706]"
29,hg17,0.6831275720164609,0.12098245518669418,"[0.6419753086419753, 0.7654320987654321, 0.6296296296296297, 0.5432098765432098, 0.9012345679012346, 0.5555555555555556, 0.8888888888888888, 0.8024691358024691, 0.5555555555555556, 0.8271604938271605, 0.6296296296296297, 0.6172839506172839, 0.5679012345679012, 0.7037037037037037, 0.7530864197530864, 0.5432098765432098, 0.8395061728395061, 0.5432098765432098, 0.8148148148148148, 0.6419753086419753, 0.5802469135802469]",0.8299319727891156,0.14955675689651837,"[0.8095238095238095, 0.9047619047619048, 0.8095238095238095, 0.6190476190476191, 1.0, 0.8571428571428571, 1.0, 1.0, 0.6190476190476191, 1.0, 0.6666666666666666, 0.7619047619047619, 0.6666666666666666, 0.8095238095238095, 1.0, 0.6666666666666666, 1.0, 0.6190476190476191, 1.0, 0.9523809523809523, 0.6666666666666666]"
