,concept,overall_mean,overall_sd,last_quarter_mean,last_quarter_sd
62,hg50,0.7736363636363636,0.13197169744160994,0.83,0.180246744461277
63,hg51,0.822386679000925,0.11528161021035617,0.8333333333333334,0.11785113019775792
64,hg52,0.8685300207039338,0.1309211465461039,0.9068322981366458,0.2223481033499223
65,hg53,0.7736572890025575,0.1240079582854287,0.8888888888888888,0.16706875812358055
66,hg54,0.7870370370370371,0.18789681375698586,0.8541666666666666,0.19873733362853033
67,hg55,0.8183157894736843,0.09766757269078273,0.8726666666666667,0.14382705664172588
68,hg56,0.6866666666666668,0.07305451013624802,0.72,0.170405447474327
69,hg57,0.6507936507936508,0.08093681767607594,0.681818181818182,0.1659765325773231
70,hg58,0.6214209968186638,0.10737238650135429,0.6561264822134386,0.17974414230675212
71,hg59,0.7186147186147187,0.16567988080744253,0.7975206611570248,0.23408279402096774
72,hg60,0.6533333333333334,0.17270002921926822,0.728,0.2749836358767554
73,hg61,0.722488038277512,0.09773539816179663,0.8681818181818184,0.10174104220726995
74,hg62,0.7473572938689217,0.11048913826832384,0.8264462809917354,0.13119427988750035
75,hg63,0.6772727272727272,0.20174855473792858,0.8233333333333335,0.22647050335284039
76,hg64,0.6746031746031748,0.17436062698869303,0.7728937728937728,0.23195809815366392
77,hg65,0.8233471074380166,0.08985228146307658,0.8787878787878788,0.11439143083743561
78,hg66,0.6337285902503292,0.10301985666574237,0.7342995169082126,0.24241389932935997
79,hg67,0.6869565217391305,0.07513378112515415,0.683794466403162,0.1415218481420408
80,hg68,0.6294736842105264,0.1349915355918305,0.652,0.2483867951401604
81,hg69,0.8519736842105262,0.11288535621273507,0.9083333333333333,0.19773017529507786
82,hg70,0.5942350332594235,0.11452923787268253,0.6322314049586777,0.17652900300242835
83,hg71,0.7839721254355402,0.0897846601165514,0.9480519480519481,0.09947294626039875
84,hg72,0.6347826086956523,0.10314066229805617,0.6403162055335968,0.12131232611243328
85,hg73,0.6135105204872646,0.07122008943881962,0.5844155844155845,0.14731341581968446
86,hg74,0.540133779264214,0.10531798596114,0.5900621118012422,0.19557821731470543
87,hg75,0.5684210526315789,0.12892051277806202,0.652,0.25786818338057915
88,hg76,0.5639967449430364,0.10669748894217201,0.6594202898550726,0.17705495250537126
89,hg77,0.8203463203463205,0.08666121739899393,0.9462809917355373,0.10494566197686195
90,hg78,0.7867104183757175,0.1501656318353068,0.8726708074534162,0.20525107629637648
91,hg79,0.8038548752834467,0.09605791192732487,0.9090909090909088,0.10865714630312669
