,concept,overall,last_quarter,first_quarter,subject,overall_percentile,last_quarter_percentile,last_quarter_difference
47,hg35,0.6944444444444444,0.5555555555555556,0.8888888888888888,gemma_2b-it,4.3478260869565215,4.3478260869565215,-0.38888888888888884
48,hg36,0.5,0.3,0.5,gemma_2b-it,0.0,0.0,-0.33157894736842103
49,hg37,0.4634146341463415,0.5,0.2,gemma_2b-it,5.0,5.0,-0.36111111111111116
50,hg38,0.6538461538461539,0.38461538461538464,0.7692307692307693,gemma_2b-it,56.0,20.0,-0.16083916083916078
51,hg39,0.625,0.8,0.2,gemma_2b-it,10.0,30.0,-0.09999999999999998
52,hg40,0.5652173913043478,0.6363636363636364,0.45454545454545453,gemma_2b-it,17.391304347826086,21.73913043478261,-0.11363636363636365
53,hg41,0.6086956521739131,0.7272727272727273,0.5454545454545454,gemma_2b-it,12.5,25.0,-0.1411483253588517
54,hg42,0.5961538461538461,0.6923076923076923,0.46153846153846156,gemma_2b-it,4.545454545454546,13.636363636363637,-0.1648351648351648
55,hg43,0.6,0.45454545454545453,0.36363636363636365,gemma_2b-it,0.0,0.0,-0.37878787878787884
56,hg44,0.6363636363636364,0.7272727272727273,0.6363636363636364,gemma_2b-it,24.0,76.0,0.07727272727272727
57,hg45,0.68,0.75,0.6666666666666666,gemma_2b-it,65.21739130434783,69.56521739130434,0.09782608695652173
58,hg46,0.5882352941176471,0.75,0.5,gemma_2b-it,0.0,7.6923076923076925,-0.06818181818181823
59,hg47,0.5306122448979592,0.4166666666666667,0.6666666666666666,gemma_2b-it,4.3478260869565215,0.0,-0.3452380952380952
60,hg48,0.5384615384615384,0.6666666666666666,0.1111111111111111,gemma_2b-it,8.333333333333334,16.666666666666668,-0.18627450980392157
61,hg49,0.6086956521739131,0.6363636363636364,0.6363636363636364,gemma_2b-it,40.909090909090914,54.54545454545455,0.031100478468899517
62,hg50,0.7021276595744681,0.8181818181818182,0.6363636363636364,gemma_2b-it,20.833333333333336,33.333333333333336,-0.15550239234449748
63,hg51,0.7291666666666666,0.5833333333333334,0.6666666666666666,gemma_2b-it,8.695652173913043,4.3478260869565215,-0.31666666666666665
64,hg52,0.8727272727272727,1.0,0.6153846153846154,gemma_2b-it,31.81818181818182,100.00000000000001,0.050000000000000044
65,hg53,0.7714285714285715,0.875,0.5,gemma_2b-it,13.043478260869565,8.695652173913043,-0.125
66,hg54,0.78,0.9166666666666666,0.3333333333333333,gemma_2b-it,12.5,12.5,-0.08333333333333337
67,hg55,0.6808510638297872,0.7272727272727273,0.5454545454545454,gemma_2b-it,4.166666666666667,16.666666666666668,-0.19772727272727275
68,hg56,0.5227272727272727,0.7272727272727273,0.5454545454545454,gemma_2b-it,4.0,56.0,0.005050505050505083
69,hg57,0.5777777777777777,0.6363636363636364,0.8181818181818182,gemma_2b-it,12.5,41.66666666666667,-0.04784688995215314
70,hg58,0.45454545454545453,0.36363636363636365,0.09090909090909091,gemma_2b-it,4.3478260869565215,4.3478260869565215,-0.3732057416267942
71,hg59,0.46511627906976744,0.6,0.4,gemma_2b-it,4.545454545454546,18.181818181818183,-0.4
72,hg60,0.4523809523809524,0.7,0.2,gemma_2b-it,0.0,41.66666666666667,-0.27368421052631575
73,hg61,0.5,0.6,0.5,gemma_2b-it,0.0,45.45454545454546,-0.04705882352941182
74,hg62,0.5869565217391305,0.8181818181818182,0.45454545454545453,gemma_2b-it,4.545454545454546,18.181818181818183,-0.08181818181818179
75,hg63,0.40816326530612246,0.5,0.25,gemma_2b-it,0.0,20.0,-0.5
76,hg64,0.6,0.5833333333333334,0.5833333333333334,gemma_2b-it,47.61904761904762,42.857142857142854,-0.1785714285714285
