,concept,subject,first_quarter,last_quarter,overall
108,hg05,cdq,0.8636363636363636,1.0,0.9662921348314607
109,hg05,cek,0.8636363636363636,1.0,0.9662921348314607
110,hg05,cih,0.7727272727272727,1.0,0.9438202247191011
111,hg05,cki,0.8636363636363636,0.782608695652174,0.9101123595505618
112,hg05,ckn,1.0,1.0,1.0
113,hg06,abm,0.7894736842105263,1.0,0.8974358974358975
114,hg06,agu,0.5789473684210527,1.0,0.8717948717948718
115,hg06,ahb,0.8421052631578947,1.0,0.9615384615384616
116,hg06,ahs,0.5789473684210527,0.75,0.8076923076923077
117,hg06,alj,0.6842105263157895,1.0,0.8974358974358975
118,hg06,amt,0.7368421052631579,0.85,0.7564102564102564
119,hg06,aum,0.5263157894736842,0.75,0.6794871794871795
120,hg06,axc,0.6842105263157895,0.4,0.5256410256410257
121,hg06,azi,0.7368421052631579,0.6,0.5641025641025641
122,hg06,azv,0.5789473684210527,0.85,0.8076923076923077
123,hg06,bgl,0.3157894736842105,0.8,0.5384615384615384
124,hg06,bhm,0.5789473684210527,1.0,0.8589743589743589
125,hg06,bil,0.631578947368421,1.0,0.8846153846153846
126,hg06,bms,0.8947368421052632,1.0,0.9743589743589743
127,hg06,brf,0.7368421052631579,1.0,0.9230769230769231
128,hg06,bud,0.631578947368421,1.0,0.8846153846153846
129,hg06,bvv,0.9473684210526315,1.0,0.9358974358974359
130,hg06,bwh,0.6842105263157895,1.0,0.8974358974358975
131,hg06,bwp,0.7894736842105263,0.9,0.8589743589743589
132,hg06,bze,0.6842105263157895,1.0,0.8974358974358975
133,hg06,caq,0.7894736842105263,0.6,0.7307692307692307
134,hg06,cfx,0.7368421052631579,1.0,0.9102564102564102
135,hg06,cmp,0.9473684210526315,0.9,0.9102564102564102
136,hg07,abf,0.5789473684210527,0.9,0.7948717948717948
137,hg07,ach,0.47368421052631576,1.0,0.8717948717948718
138,hg07,agu,0.8947368421052632,1.0,0.9743589743589743
139,hg07,ahb,0.6842105263157895,1.0,0.9230769230769231
140,hg07,alj,0.8947368421052632,1.0,0.9743589743589743
141,hg07,als,0.5789473684210527,0.6,0.5897435897435898
142,hg07,ant,0.7894736842105263,1.0,0.8974358974358975
143,hg07,azp,0.8421052631578947,1.0,0.9615384615384616
144,hg07,bav,0.9473684210526315,1.0,0.9871794871794872
145,hg07,bdc,0.7894736842105263,1.0,0.9230769230769231
146,hg07,bfj,0.5789473684210527,1.0,0.7051282051282052
147,hg07,bgm,0.7368421052631579,1.0,0.9358974358974359
148,hg07,bhm,0.7894736842105263,0.95,0.9358974358974359
149,hg07,biy,0.6842105263157895,1.0,0.9230769230769231
150,hg07,blc,0.631578947368421,1.0,0.9102564102564102
151,hg07,bze,0.8421052631578947,1.0,0.9615384615384616
152,hg07,cch,0.7368421052631579,1.0,0.9358974358974359
153,hg07,ceb,0.9473684210526315,1.0,0.9871794871794872
154,hg07,cfr,0.8947368421052632,1.0,0.9615384615384616
155,hg07,cft,0.7368421052631579,0.6,0.5641025641025641
156,hg07,cho,0.8421052631578947,1.0,0.9615384615384616
157,hg07,cmj,0.8421052631578947,1.0,0.9615384615384616
158,hg08,ach,0.7222222222222222,1.0,0.9315068493150684
159,hg08,agv,0.7222222222222222,1.0,0.8767123287671232
160,hg08,ahb,0.8888888888888888,1.0,0.9726027397260274
161,hg08,aia,0.7777777777777778,1.0,0.9452054794520548
162,hg08,ale,0.7777777777777778,1.0,0.9452054794520548
163,hg08,alg,0.6666666666666666,1.0,0.9178082191780822
164,hg08,amd,0.7222222222222222,1.0,0.8356164383561644
165,hg08,amv,0.5,0.5789473684210527,0.5753424657534246
166,hg08,ane,0.5,1.0,0.821917808219178
167,hg08,aqe,0.7777777777777778,1.0,0.9452054794520548
168,hg08,azp,0.8888888888888888,1.0,0.9726027397260274
169,hg08,bck,0.4444444444444444,0.3157894736842105,0.4794520547945205
170,hg08,bfo,0.5555555555555556,0.6842105263157895,0.6575342465753424
171,hg08,bhm,0.7777777777777778,1.0,0.9452054794520548
172,hg08,bil,0.6111111111111112,1.0,0.821917808219178
173,hg08,bjh,0.6666666666666666,1.0,0.8904109589041096
174,hg08,bmb,0.8333333333333334,1.0,0.958904109589041
175,hg08,bpu,0.6666666666666666,1.0,0.8904109589041096
176,hg08,bud,0.6111111111111112,1.0,0.821917808219178
177,hg08,bwx,0.8333333333333334,1.0,0.958904109589041
178,hg08,bzm,0.7222222222222222,1.0,0.9315068493150684
179,hg08,cby,0.3888888888888889,0.6842105263157895,0.5616438356164384
180,hg08,clc,0.7777777777777778,1.0,0.9315068493150684
181,hg08,cmi,0.9444444444444444,1.0,0.9863013698630136
182,hg08,cmj,0.9444444444444444,1.0,0.9863013698630136
183,hg09,agu,0.7894736842105263,1.0,0.9358974358974359
184,hg09,agw,0.6842105263157895,1.0,0.9230769230769231
185,hg09,ahs,0.631578947368421,1.0,0.9102564102564102
186,hg09,aju,0.7368421052631579,1.0,0.9358974358974359
187,hg09,aom,0.9473684210526315,1.0,0.9871794871794872
188,hg09,aor,0.8421052631578947,1.0,0.9358974358974359
189,hg09,aqe,0.7368421052631579,1.0,0.9358974358974359
190,hg09,aue,0.5789473684210527,1.0,0.8974358974358975
191,hg09,aui,0.6842105263157895,1.0,0.9230769230769231
192,hg09,avj,0.631578947368421,0.95,0.8717948717948718
193,hg09,azu,0.8947368421052632,1.0,0.9615384615384616
194,hg09,bav,0.7368421052631579,1.0,0.9230769230769231
195,hg09,bbb,0.8421052631578947,1.0,0.9230769230769231
196,hg09,bbt,0.7894736842105263,1.0,0.9358974358974359
197,hg09,bhy,0.6842105263157895,0.95,0.8205128205128205
198,hg09,box,0.8947368421052632,1.0,0.9615384615384616
199,hg09,bpq,0.5789473684210527,0.9,0.7051282051282052
200,hg09,brb,0.47368421052631576,0.95,0.8333333333333334
201,hg09,bti,0.7894736842105263,1.0,0.9487179487179487
202,hg09,bvr,0.7894736842105263,1.0,0.9487179487179487
203,hg09,ccf,0.9473684210526315,1.0,0.9743589743589743
204,hg09,cck,0.42105263157894735,0.1,0.3076923076923077
205,hg09,cgn,0.7894736842105263,1.0,0.8846153846153846
206,hg10,agn,0.7222222222222222,0.9473684210526315,0.863013698630137
207,hg10,ahb,0.6666666666666666,1.0,0.9178082191780822
208,hg10,ahs,0.7777777777777778,1.0,0.9452054794520548
209,hg10,ajw,0.6666666666666666,1.0,0.9041095890410958
210,hg10,apc,0.6666666666666666,1.0,0.9178082191780822
211,hg10,aqe,0.8333333333333334,1.0,0.958904109589041
212,hg10,aqq,0.7222222222222222,1.0,0.9315068493150684
213,hg10,arn,0.5555555555555556,1.0,0.8904109589041096
214,hg10,art,0.7222222222222222,1.0,0.9315068493150684
215,hg10,atb,0.6666666666666666,1.0,0.9041095890410958
216,hg10,aue,0.7777777777777778,1.0,0.9315068493150684
217,hg10,azb,0.7777777777777778,1.0,0.8904109589041096
218,hg10,azu,0.8333333333333334,1.0,0.958904109589041
219,hg10,bcb,0.5555555555555556,1.0,0.8904109589041096
220,hg10,bdf,0.8333333333333334,1.0,0.958904109589041
221,hg10,bfs,0.6111111111111112,1.0,0.8767123287671232
222,hg10,bgk,0.6111111111111112,1.0,0.9041095890410958
223,hg10,bna,0.6666666666666666,1.0,0.8493150684931506
224,hg10,bqe,0.6111111111111112,1.0,0.8767123287671232
225,hg10,bwv,0.7222222222222222,1.0,0.9315068493150684
226,hg10,bxy,0.6666666666666666,1.0,0.863013698630137
227,hg10,ceb,0.5555555555555556,1.0,0.8904109589041096
228,hg10,cki,0.8333333333333334,1.0,0.958904109589041
229,hg100,aaj,0.4117647058823529,1.0,0.8428571428571429
230,hg100,aby,0.5882352941176471,1.0,0.8857142857142857
231,hg100,acq,0.6470588235294118,1.0,0.9
232,hg100,aew,0.29411764705882354,0.8333333333333334,0.5857142857142857
233,hg100,aiu,0.4117647058823529,0.8333333333333334,0.6571428571428571
234,hg100,anj,0.5294117647058824,0.8888888888888888,0.7571428571428571
235,hg100,aof,0.5882352941176471,1.0,0.9
236,hg100,arf,0.4117647058823529,0.5,0.44285714285714284
237,hg100,baw,0.5882352941176471,0.7222222222222222,0.6142857142857143
238,hg100,bea,0.35294117647058826,0.7222222222222222,0.5857142857142857
239,hg100,ben,0.47058823529411764,1.0,0.7428571428571429
240,hg100,bgm,0.23529411764705882,1.0,0.7285714285714285
241,hg100,blr,0.5882352941176471,0.7777777777777778,0.6857142857142857
242,hg100,bmh,0.29411764705882354,0.5555555555555556,0.5
243,hg100,bnz,0.5882352941176471,1.0,0.8857142857142857
