,concept,listnum,first_quarter_sd,first_quarter_se,first_quarter_mean,overall_mean,overall_se,overall_sd,last_quarter_se,last_quarter_mean,last_quarter_firstquartile,last_quarter_firstdecile,last_quarter_firstquintile,last_quarter_median,last_quarter_thirdquartile,last_quarter_firstpercentile,last_quarter_fifthpercentile,last_quarter_sd
52,hg14,L1,0.2699621480918774,0.02748814488275398,0.577639751552795,0.6972624798711756,0.03526964042863553,0.16542927730977766,0.057556123362087666,0.7784679089026914,0.5714285714285714,0.3142857142857143,0.5714285714285714,0.9047619047619048,1.0,0.16380952380952374,0.24285714285714277,0.2699621480918774
53,hg14,L2,0.16752529311097955,0.020457793575853127,0.7248677248677249,0.8081632653061223,0.027133393061315663,0.12134422269064588,0.037459794334672745,0.8862433862433863,0.7777777777777778,0.6666666666666666,0.7222222222222222,1.0,1.0,0.43333333333333335,0.6111111111111112,0.16752529311097955
54,hg15,L1,0.23204089123818583,0.02503932365780786,0.6113636363636364,0.7744755244755246,0.034888407171483095,0.15987876673976145,0.05063547373447628,0.8454545454545453,0.6875,0.455,0.56,0.975,1.0,0.3605,0.4025,0.23204089123818583
55,hg15,L2,0.22935535336316762,0.0236354273426447,0.5184210526315789,0.7129186602870813,0.035223569910549805,0.1494409508480892,0.054059575221510885,0.8052631578947368,0.6,0.45,0.56,0.95,1.0,0.40900000000000003,0.445,0.22935535336316762
56,hg16,L1,0.15077044284417995,0.02304777938055503,0.5158730158730159,0.7453416149068323,0.026090242653454845,0.11667911224517905,0.033713295919733315,0.9074074074074073,0.9444444444444444,0.7222222222222222,0.8333333333333334,0.9444444444444444,1.0,0.4666666666666667,0.5555555555555556,0.15077044284417995
57,hg16,L2,0.24431246655641398,0.03059187671202656,0.5909090909090909,0.7224517906336089,0.03689037533734437,0.16905293739871266,0.05331335101029211,0.7941176470588236,0.5735294117647058,0.36470588235294116,0.5294117647058824,0.9411764705882352,1.0,0.30647058823529405,0.3529411764705882,0.24431246655641398
58,hg17,L1,0.18746900570273892,0.03508647326336185,0.5750000000000001,0.6975524475524475,0.03201695454337016,0.1467201177169541,0.04090909090909091,0.859090909090909,0.8,0.61,0.72,0.95,1.0,0.34199999999999997,0.505,0.18746900570273892
59,hg17,L2,0.14955675689651837,0.029661042783094616,0.47845804988662133,0.6831275720164609,0.027052499388227017,0.12098245518669416,0.033441907491502554,0.8299319727891156,0.6666666666666666,0.6190476190476191,0.6666666666666666,0.8095238095238095,1.0,0.6190476190476191,0.6190476190476191,0.14955675689651837
60,hg18,L1,0.02192619949739636,0.02268976771355456,0.8301435406698565,0.9514321295143214,0.0070812462055757485,0.03245034675166969,0.00478468899521531,0.9952153110047847,1.0,1.0,1.0,1.0,1.0,0.9168421052631579,1.0,0.02192619949739636
61,hg18,L2,0.09428090415820634,0.02841491522787649,0.78,0.9108571428571429,0.01648086914028043,0.08073943982253744,0.019245008972987525,0.9555555555555554,1.0,0.7777777777777778,0.9777777777777779,1.0,1.0,0.6933333333333334,0.7777777777777778,0.09428090415820634
62,hg19,L1,0.08336015730579524,0.02362161234417243,0.7389770723104057,0.8980338363054412,0.01458071570287327,0.07434735389109953,0.01634827187532362,0.9770723104056437,1.0,1.0,1.0,1.0,1.0,0.6561904761904762,0.8333333333333333,0.08336015730579524
63,hg19,L2,0.18332398030762345,0.029565785335340766,0.6878306878306878,0.863756613756614,0.03410993278133662,0.15254425681403433,0.040992488187367886,0.9259259259259258,1.0,0.5555555555555556,1.0,1.0,1.0,0.4111111111111111,0.5,0.18332398030762345
64,hg20,L1,0.1300877338957063,0.026322418971074603,0.7936507936507937,0.9149659863945577,0.025487972171957408,0.11398567677023944,0.029088501602970284,0.9682539682539684,1.0,1.0,1.0,1.0,1.0,0.5,0.9444444444444444,0.1300877338957063
65,hg20,L2,0.03675601465494052,0.026775322247992804,0.7345537757437072,0.9148302561048243,0.01145645268711813,0.05373552623533035,0.007836408654810634,0.9816933638443937,1.0,0.9052631578947369,0.968421052631579,1.0,1.0,0.8947368421052632,0.8947368421052632,0.03675601465494052
